dates,Licensed restaurants,Taverns
Aug-1981,76660.9,22810.2
Sep-1981,70834.5,21992.5
Oct-1981,71530.7,24665.3
Nov-1981,62200.0,22931.1
Dec-1981,68855.7,24403.8
Jan-1982,65777.4,20893.1
Feb-1982,65351.9,21376.7
Mar-1982,65115.0,23549.0
Apr-1982,69791.5,25938.0
May-1982,78867.1,27024.3
Jun-1982,77307.1,26518.7
Jul-1982,84660.9,27048.8
Aug-1982,80834.1,27116.8
Sep-1982,80493.1,28573.1
Oct-1982,77197.0,28479.3
Nov-1982,68689.2,27563.4
Dec-1982,76528.3,30660.4
Jan-1983,70704.2,23913.8
Feb-1983,75224.1,21604.2
Mar-1983,77536.1,24329.3
Apr-1983,74675.2,25069.4
May-1983,84708.0,25441.5
Jun-1983,90294.2,26491.4
Jul-1983,97988.0,28059.1
Aug-1983,93019.8,29608.9
Sep-1983,88725.0,29979.4
Oct-1983,84924.1,28278.1
Nov-1983,74240.3,27065.9
Dec-1983,82036.2,29816.4
Jan-1984,69842.7,23834.9
Feb-1984,73405.3,26290.9
Mar-1984,80879.3,29093.1
Apr-1984,77314.2,27646.3
May-1984,87394.5,30143.6
Jun-1984,98349.8,29725.8
Jul-1984,105465.4,29894.2
Aug-1984,104423.1,30794.1
Sep-1984,92926.6,30710.8
Oct-1984,92219.5,29934.9
Nov-1984,90207.2,31606.4
Dec-1984,91122.5,30938.2
Jan-1985,82917.5,24771.7
Feb-1985,77210.2,26573.8
Mar-1985,90089.1,30442.2
Apr-1985,89633.5,30103.5
May-1985,105715.7,31946.0
Jun-1985,103224.7,30291.6
Jul-1985,120085.6,31010.7
Aug-1985,124932.3,33001.4
Sep-1985,107501.0,32410.6
Oct-1985,105003.4,33477.6
Nov-1985,97160.5,31161.4
Dec-1985,99100.4,29658.0
Jan-1986,89208.4,25397.5
Feb-1986,90795.5,24627.5
Mar-1986,96984.0,28179.8
Apr-1986,99001.8,27846.6
May-1986,120661.7,31900.1
Jun-1986,120675.9,30079.7
Jul-1986,139354.8,28938.1
Aug-1986,144372.8,31354.7
Sep-1986,116242.4,28959.0
Oct-1986,116511.0,31866.3
Nov-1986,107092.6,27900.1
Dec-1986,111194.3,29549.1
Jan-1987,97545.8,23875.6
Feb-1987,100758.6,23973.6
