DATE,AWAY,,HOME
19/01/1910,MTL 4,vs,REN 9
22/01/1910,MTL 4,vs,OTT 6
26/01/1910,OTT 8,vs,MTL 4
02/02/1910,MTL 3,vs,SHA 8
07/02/1910,HAI 5,vs,MTL 9
12/02/1910,WAN 9,vs,MTL 4
15/02/1910,REN 8,vs,MTL 6
24/02/1910,MTL 7,vs,COB 11
26/02/1910,MTL 3,vs,HAI 15
05/03/1910,COB 6,vs,MTL 4
09/03/1910,MTL 6,vs,WAN 11
11/03/1910,SHA 4,vs,MTL 5
31/12/1910,OTT5,vs,MTL3
07/01/1911,MTL4,vs,QUE1
14/01/1911,REN1,vs,MTL4
18/01/1911,MTL4,vs,WAN5
21/01/1911,MTL4,vs,OTT5
24/01/1911,QUE5,vs,MTL9
27/01/1911,MTL6,vs,REN5
01/02/1911,WAN6,vs,MTL3
07/02/1911,MTL9,vs,WAN2
11/02/1911,QUE2,vs,MTL3
15/02/1911,MTL4,vs,QUE7
21/02/1911,REN2,vs,MTL4
28/02/1911,WAN2,vs,MTL3
02/03/1911,MTL3,vs,REN5
08/03/1911,OTT4,vs,MTL3
10/03/1911,MTL0,vs,OTT5
03/01/1912,WAN 5,vs,MTL 0
06/01/1912,MTL 5,vs,QUE 4
10/01/1912,WAN 1,vs,MTL 6
13/01/1912,OTT 4,vs,MTL 3
17/01/1912,MTL 5,vs,OTT 4
20/01/1912,MTL 6,vs,WAN 3
24/01/1912,MTL 2,vs,QUE 4
27/01/1912,QUE 3,vs,MTL 5
31/01/1912,WAN 2,vs,MTL 1
03/02/1912,OTT 3,vs,MTL 9
07/02/1912,MTL 2,vs,OTT 4
10/02/1912,MTL 2,vs,QUE 5
14/02/1912,QUE 2,vs,MTL 1
17/02/1912,MTL 1,vs,OTT 6
21/02/1912,MTL 1,vs,WAN 9
24/02/1912,OTT 3,vs,MTL 2
28/02/1912,QUE 3,vs,MTL 6
02/03/1912,MTL 2,vs,WAN 1
25/12/1912,MTL9,vs,TOR5
28/12/1912,TOR5,vs,MTL8
01/01/1913,MTL4,vs,TEC3
04/01/1913,OTT7,vs,MTL3
08/01/1913,MTL4,vs,WAN3
11/01/1913,MTL3,vs,QUE4
15/01/1913,QUE4,vs,MTL5
18/01/1913,MTL6,vs,OTT0
22/01/1913,WAN4,vs,MTL3
25/01/1913,TEC4,vs,MTL5
01/02/1913,MTL1,vs,OTT2
05/02/1913,TEC5,vs,MTL4
08/02/1913,MTL3,vs,TOR5
12/02/1913,WAN4,vs,MTL6
15/02/1913,OTT3,vs,MTL2
19/02/1913,MTL2,vs,QUE4
22/02/1913,QUE7,vs,MTL6
26/02/1913,MTL4,vs,WAN5
01/03/1913,MTL3,vs,TEC1
05/03/1913,TOR6,vs,MTL2
27/12/1913,MTL 0,vs,TOR 3
30/12/1913,MTL 4,vs,QUE 3
03/01/1914,TEC 3,vs,MTL 4
07/01/1914,MTL 0,vs,OTT 6
10/01/1914,WAN 2,vs,MTL 8
14/01/1914,QUE 3,vs,MTL 4
17/01/1914,MTL 9,vs,TEC 3
21/01/1914,OTT 3,vs,MTL 2
24/01/1914,MTL 9,vs,WAN 1
28/01/1914,TOR 3,vs,MTL 4
31/01/1914,MTL 4,vs,TEC 6
04/02/1914,MTL 1,vs,QUE 6
07/02/1914,TOR 3,vs,MTL 9
11/02/1914,MTL 6,vs,WAN 2
14/02/1914,OTT 0,vs,MTL 1
18/02/1914,QUE 1,vs,MTL 2
21/02/1914,MTL 2,vs,TOR 3
24/02/1914,MTL 5,vs,OTT 6
28/02/1914,WAN 5,vs,MTL 6
04/03/1914,TEC 3,vs,MTL 5
26/12/1914,TOR4,vs,MTL3
30/12/1914,QUE8,vs,MTL7
02/01/1915,MTL1,vs,SHA4
06/01/1915,OTT4,vs,MTL2
09/01/1915,MTL4,vs,WAN5
13/01/1915,MTL2,vs,QUE3
16/01/1915,SHA7,vs,MTL1
20/01/1915,MTL1,vs,OTT3
23/01/1915,MTL7,vs,WAN2
27/01/1915,MTL1,vs,TOR2
30/01/1915,SHA3,vs,MTL4
03/02/1915,QUE2,vs,MTL5
06/02/1915,MTL4,vs,TOR3
10/02/1915,MTL3,vs,WAN6
13/02/1915,MTL3,vs,OTT5
17/02/1915,MTL2,vs,QUE6
20/02/1915,TOR2,vs,MTL7
24/02/1915,OTT2,vs,MTL3
27/02/1915,WAN7,vs,MTL3
03/03/1915,MTL2,vs,SHA3
18/12/1915,MTL2,vs,TOR1
22/12/1915,WAN3,vs,MTL2
29/12/1915,MTL2,vs,QUE5
01/01/1916,MTL4,vs,OTT2
05/01/1916,TOR1,vs,MTL6
08/01/1916,MTL3,vs,WAN5
12/01/1916,QUE3,vs,MTL5
15/01/1916,OTT5,vs,MTL2
20/01/1916,MTL2,vs,QUE2
23/01/1916,MTL1,vs,TOR3
26/01/1916,WAN4,vs,MTL5
02/02/1916,MTL5,vs,WAN9
05/02/1916,TOR5,vs,MTL10
09/02/1916,OTT2,vs,MTL3
12/02/1916,MTL3,vs,OTT1
16/02/1916,QUE3,vs,MTL4
19/02/1916,WAN3,vs,MTL1
23/02/1916,MTL3,vs,QUE2
26/02/1916,QUE3,vs,MTL4
01/03/1916,TOR3,vs,MTL7
04/03/1916,MTL15,vs,WAN5
11/03/1916,OTT1,vs,MTL4
15/03/1916,MTL5,vs,OTT1
18/03/1916,MTL6,vs,TOR4
27/12/1916,TOR7,vs,MTL1
30/12/1916,MTL1,vs,OTT7
03/01/1917,MTL4,vs,QUE2
06/01/1917,WAN4,vs,MTL9
10/01/1917,2281,vs,MTL6
13/01/1917,MTL6,vs,TOR2
17/01/1917,OTT3,vs,MTL2
20/01/1917,QUE6,vs,MTL10
24/01/1917,MTL10,vs,WAN2
27/01/1917,MTL9,vs,2284
31/01/1917,MTL2,vs,TOR6
03/02/1917,OTT2,vs,MTL1
07/02/1917,QUE3,vs,MTL6
10/02/1917,MTL6,vs,WAN3
14/02/1917,MTL1,vs,OTT4
17/02/1917,WAN3,vs,MTL4
21/02/1917,MTL1,vs,QUE5
24/02/1917,QUE7,vs,MTL6
28/02/1917,OTT3,vs,MTL1
03/03/1917,MTL3,vs,WAN6
19/12/1917,MTL 7,vs,OTT 4
21/12/1917,MTL 11,vs,WAN 2
26/12/1917,MTL 5,vs,TOR 7
29/12/1917,TOR 2,vs,MTL 9
02/01/1918,WAN 0,vs,MTL 0
05/01/1918,OTT 5,vs,MTL 6
09/01/1918,MTL 4,vs,TOR 6
12/01/1918,OTT 4,vs,MTL 9
19/01/1918,TOR 1,vs,MTL 5
21/01/1918,MTL 5,vs,OTT 3
23/01/1918,OTT 4,vs,MTL 3
28/01/1918,MTL 1,vs,TOR 5
30/01/1918,MTL 5,vs,OTT 2
02/02/1918,TOR 2,vs,MTL 11
06/02/1918,MTL 3,vs,OTT 6
09/02/1918,TOR 7,vs,MTL 3
16/02/1918,OTT 4,vs,MTL 10
18/02/1918,MTL 9,vs,TOR 0
20/02/1918,TOR 4,vs,MTL 5
25/02/1918,MTL 0,vs,OTT 8
27/02/1918,OTT 3,vs,MTL 1
02/03/1918,MTL 3,vs,TOR 5
21/12/1918,OTT 5,vs,MTL 2
23/12/1918,MTL 4,vs,TOR 3
28/12/1918,TOR 3,vs,MTL 6
02/01/1919,MTL 2,vs,OTT 7
04/01/1919,OTT 2,vs,MTL 5
07/01/1919,MTL 7,vs,TOR 6
11/01/1919,TOR 4,vs,MTL 13
16/01/1919,MTL 10,vs,OTT 6
18/01/1919,OTT 3,vs,MTL 5
21/01/1919,MTL 3,vs,TOR 11
25/01/1919,OTT 1,vs,MTL 0
30/01/1919,MTL 2,vs,OTT 3
01/02/1919,TOR 0,vs,MTL 10
04/02/1919,MTL 3,vs,TOR 6
08/02/1919,OTT 3,vs,MTL 4
11/02/1919,MTL 4,vs,TOR 6
13/02/1919,MTL 0,vs,OTT 7
15/02/1919,TOR 2,vs,MTL 8
24/12/1919,MTL 12,vs,QUE 5
27/12/1919,OTT 2,vs,MTL 0
31/12/1919,MTL 1,vs,TOR 5
07/01/1920,MTL 3,vs,OTT 4
10/01/1920,TOR 7,vs,MTL 14
12/01/1920,QUE 3,vs,MTL 7
14/01/1920,MTL 4,vs,TOR 3
17/01/1920,OTT 2,vs,MTL 3
21/01/1920,TOR 2,vs,MTL 3
24/01/1920,MTL 8,vs,QUE 4
28/01/1920,QUE 3,vs,MTL 4
31/01/1920,MTL 3,vs,OTT 11
04/02/1920,MTL 6,vs,TOR 5
07/02/1920,QUE 2,vs,MTL 6
11/02/1920,MTL 3,vs,OTT 4
14/02/1920,OTT 3,vs,MTL 2
